[startup] Initializing environment...
[startup] Environment initialized in 0.0s
[startup] Resetting environment and loading checkpoint...
[startup] Checkpoint loaded in 5.5s
[startup] Loading evaluation goal...
Using badge-success goal: /home/yeonlife/rl_project/PokemonofflineRL/offline_trajectories/trajectory_seed_000.npz (step 8081)
[startup] Evaluation goal loaded in 0.2s
Checkpoint: /home/yeonlife/rl_project/PokemonofflineRL/checkpoints/hiql_0804/hiql_10000.msgpack
Evaluating 300 episodes (max 50000 steps each, logging every 1000 steps)
[startup] Ready in 5.6s. The first policy call may include JAX compilation time.
[episode 1/300] resetting environment...
[episode 1/300] started (reset=0.0s, max_steps=50,000)
[episode 2/300 | step 36,000/50,000] return=72.739 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=5, map=37)
[episode 2/300 | step 37,000/50,000] return=72.689 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=5, map=37)
[episode 2/300 | step 38,000/50,000] return=72.739 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=12, y=14, map=0)
[episode 2/300 | step 39,000/50,000] return=72.789 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=37)
[episode 2/300 | step 40,000/50,000] return=72.789 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=5, map=37)
[episode 2/300 | step 41,000/50,000] return=72.989 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=6, map=0)
[episode 2/300 | step 42,000/50,000] return=73.039 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=12, y=11, map=40)
[episode 2/300 | step 43,000/50,000] return=73.039 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=9, y=14, map=0)
[episode 2/300 | step 44,000/50,000] return=73.039 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=8, map=0)
[episode 2/300 | step 45,000/50,000] return=73.039 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=11, y=7, map=0)
[episode 2/300 | step 46,000/50,000] return=72.989 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=39)
[episode 2/300 | step 47,000/50,000] return=72.989 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=6, map=0)
[episode 2/300 | step 48,000/50,000] return=72.989 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=0)
[episode 2/300 | step 49,000/50,000] return=72.989 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=5, map=37)
[episode 2/300 | step 50,000/50,000] return=73.039 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=9, map=0)
[episode 2/300] complete steps=50,000 return=73.039 goal_reached=False total_success=0 rate=0.00%
[episode 3/300] resetting environment...
[episode 3/300] started (reset=0.0s, max_steps=50,000)
[episode 3/300 | step 1,000/50,000] return=2.650 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 3/300 | step 2,000/50,000] return=2.950 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 3/300 | step 3,000/50,000] return=2.950 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 3/300 | step 4,000/50,000] return=3.050 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
[episode 3/300 | step 5,000/50,000] return=3.450 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=7, map=38)
