saved offline_trajectories/trajectory_seed_132.npz | steps=10618 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_133.npz | steps=8637 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_134.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_135.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_136.npz | steps=14692 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_137.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_138.npz | steps=13448 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_139.npz | steps=22008 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_140.npz | steps=10216 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_141.npz | steps=10049 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_142.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_143.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_144.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_145.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_146.npz | steps=25118 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_147.npz | steps=9406 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_148.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_149.npz | steps=17552 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_150.npz | steps=9491 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_151.npz | steps=27995 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_152.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_153.npz | steps=9840 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_154.npz | steps=15479 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_155.npz | steps=17646 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_156.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_157.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_158.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_159.npz | steps=31386 | badges=[0 0 0 0 0 0 0 1]
