python main.py --model cql
WARNING: Failed to find CUDA.
step 007850 | loss 1.8071 | bellman 0.1234 | cql 1.6837 | q 1.6862 | target_q 1.7432 | device cuda
step 007900 | loss 1.8280 | bellman 0.1046 | cql 1.7234 | q 1.5505 | target_q 1.6039 | device cuda
step 007950 | loss 1.7295 | bellman 0.0678 | cql 1.6616 | q 1.5779 | target_q 1.6357 | device cuda
step 008000 | loss 1.5218 | bellman 0.0575 | cql 1.4643 | q 1.8096 | target_q 1.7539 | device cuda
step 008050 | loss 1.8131 | bellman 0.0748 | cql 1.7383 | q 1.7414 | target_q 1.8129 | device cuda
step 008100 | loss 1.7974 | bellman 0.1169 | cql 1.6805 | q 1.8208 | target_q 1.8985 | device cuda
step 008150 | loss 1.6124 | bellman 0.0922 | cql 1.5202 | q 1.8408 | target_q 1.9503 | device cuda
step 008200 | loss 1.6731 | bellman 0.0923 | cql 1.5808 | q 1.9591 | target_q 1.8958 | device cuda
step 008250 | loss 1.6541 | bellman 0.0789 | cql 1.5752 | q 1.8377 | target_q 1.9017 | device cuda
step 008300 | loss 1.6996 | bellman 0.0656 | cql 1.6340 | q 1.8141 | target_q 1.8355 | device cuda
step 008350 | loss 1.3229 | bellman 0.0422 | cql 1.2807 | q 1.9097 | target_q 1.8886 | device cuda
step 008400 | loss 1.3252 | bellman 0.0236 | cql 1.3016 | q 2.0222 | target_q 1.9244 | device cuda
step 008450 | loss 1.6111 | bellman 0.0959 | cql 1.5152 | q 1.9621 | target_q 1.8651 | device cuda
step 008500 | loss 1.6697 | bellman 0.1017 | cql 1.5681 | q 1.8266 | target_q 1.8699 | device cuda
step 008550 | loss 1.9015 | bellman 0.1529 | cql 1.7486 | q 1.8126 | target_q 1.9742 | device cuda
step 008600 | loss 1.8070 | bellman 0.1620 | cql 1.6449 | q 1.8869 | target_q 1.9206 | device cuda
step 008650 | loss 1.7124 | bellman 0.0754 | cql 1.6370 | q 1.9682 | target_q 1.8551 | device cuda
step 008700 | loss 1.5875 | bellman 0.0551 | cql 1.5324 | q 1.9043 | target_q 1.8417 | device cuda
step 008750 | loss 1.6746 | bellman 0.0425 | cql 1.6321 | q 1.8425 | target_q 1.8869 | device cuda
step 008800 | loss 1.7144 | bellman 0.1613 | cql 1.5531 | q 1.9334 | target_q 1.9523 | device cuda
step 008850 | loss 1.6790 | bellman 0.0654 | cql 1.6136 | q 1.8428 | target_q 1.8263 | device cuda
step 008900 | loss 1.9541 | bellman 0.2844 | cql 1.6697 | q 1.5166 | target_q 1.7883 | device cuda
step 008950 | loss 1.6060 | bellman 0.0776 | cql 1.5285 | q 1.9679 | target_q 1.9431 | device cuda
step 009000 | loss 1.7646 | bellman 0.0428 | cql 1.7218 | q 1.8658 | target_q 1.8667 | device cuda
step 009050 | loss 1.5489 | bellman 0.0414 | cql 1.5075 | q 2.0307 | target_q 2.0835 | device cuda
step 009100 | loss 1.3563 | bellman 0.0358 | cql 1.3205 | q 2.1330 | target_q 2.0938 | device cuda
step 009150 | loss 1.7142 | bellman 0.0692 | cql 1.6450 | q 1.9400 | target_q 2.0482 | device cuda
step 009200 | loss 1.9768 | bellman 0.1919 | cql 1.7849 | q 2.0014 | target_q 2.0501 | device cuda
step 009250 | loss 1.7716 | bellman 0.1291 | cql 1.6424 | q 2.2203 | target_q 2.2441 | device cuda
step 009300 | loss 1.4621 | bellman 0.0414 | cql 1.4207 | q 2.1677 | target_q 2.0814 | device cuda
step 009350 | loss 1.7745 | bellman 0.1146 | cql 1.6598 | q 2.1266 | target_q 2.2066 | device cuda
step 009400 | loss 1.5874 | bellman 0.0556 | cql 1.5317 | q 1.9695 | target_q 2.0367 | device cuda
step 009450 | loss 1.7456 | bellman 0.1415 | cql 1.6041 | q 1.9345 | target_q 2.0849 | device cuda
step 009500 | loss 1.4943 | bellman 0.0435 | cql 1.4508 | q 2.2071 | target_q 2.1800 | device cuda
step 009550 | loss 1.6334 | bellman 0.1252 | cql 1.5082 | q 2.0009 | target_q 2.0737 | device cuda
step 009600 | loss 1.6587 | bellman 0.0444 | cql 1.6142 | q 2.1049 | target_q 2.1338 | device cuda
step 009650 | loss 1.4458 | bellman 0.0495 | cql 1.3963 | q 2.0315 | target_q 2.0412 | device cuda
step 009700 | loss 1.7641 | bellman 0.0264 | cql 1.7377 | q 1.9523 | target_q 1.9342 | device cuda
step 009750 | loss 1.4814 | bellman 0.1226 | cql 1.3588 | q 2.2109 | target_q 2.0599 | device cuda
step 009800 | loss 1.7997 | bellman 0.0409 | cql 1.7587 | q 2.0389 | target_q 2.0570 | device cuda
step 009850 | loss 2.0394 | bellman 0.2008 | cql 1.8386 | q 1.8424 | target_q 2.0814 | device cuda
step 009900 | loss 1.5442 | bellman 0.0621 | cql 1.4820 | q 2.0250 | target_q 2.0472 | device cuda
step 009950 | loss 1.6263 | bellman 0.0273 | cql 1.5990 | q 2.1503 | target_q 2.1133 | device cuda
step 010000 | loss 1.9424 | bellman 0.2739 | cql 1.6685 | q 1.8900 | target_q 2.0876 | device cuda
saved final checkpoint: checkpoints\cql\cql_final.pt
